,Tweets,len,ID,USER,userName,User Location,Language,Date,Source,Likes,Retweets,Geo,Coordinates,Place
0,Adesão ao naturismo para home office no Rio 🔥: não confirmo nem nego.,69,1312023130588798976,annavirginia,Anna Virginia Balloussier,"Rio de Janeiro, Brasil",,2020-10-02 13:34:25,Twitter for iPhone,399,16,,,
1,"Bela notícia: home office no serviço público gerou economia de R$ 1 bilhão em 5 meses, no governo federal. Triste é pensar que gastaremos o dobro disso com políticos com o Fundo Eleitoral... mesmo com eles fazendo campanha de casa. https://t.co/LcewNrUksh",255,1310021360429793283,Ricamconsult,Ricardo Amorim,São Paulo,,2020-09-27 01:00:06,Hootsuite Inc.,1534,208,,,
2,mais alguém aí de home office sentindo falta do ar condicionado da firma?   Que calor dos 🔥🔥🔥,93,1311755485322903554,marcelledecothe,Marcelle Decothé,"Rio de Janeiro, Brasil",,2020-10-01 19:50:53,Twitter Web App,318,18,,,
3,"toda família tem e sem contar que só pq vc trabalha de home office vc tem que fazer toda tarefa de casa, por estar em casa e ninguem faz porra nenhuma mais https://t.co/80gvg4weOP",179,1312521829458743298,navarropope,carolnavairrus,,,2020-10-03 22:36:04,Twitter for Android,1,0,,,
4,"D'Alessandro de home office é melhor que todo meio campo do Inter. É só analisar o passe cirúrgico que ele deu pro Galhardo buscar o gol, e é uma coisa que vamos sentir falta quando ele se aposentar de fato. https://t.co/H7BXTYkfzV",231,1312521045283237890,RavenLothina,Rodrigo Silveira 🍥,Porto Alegre - RS,,2020-10-03 22:32:57,Twitter Web App,0,0,,,
5,"Home Office pode aumentar renda média brasileira, aponta estudo.  https://t.co/TmFtMVQfPK  via @GoogleNews",106,1312521017965772800,cursoatmosfera,Professor Lucas Cleber,Juazeiro Bahia,,2020-10-03 22:32:50,Twitter for Android,0,0,,,
6,"Home Office pode aumentar renda média brasileira, aponta estudo https://t.co/wdrFvNu0h1 https://t.co/AeqUdSoHCo",111,1312520819034087425,TurismoVansMG,Turismo em Vans MG,"Belo Horizonte, Brasil",,2020-10-03 22:32:03,dlvr.it,0,0,,,
7,"Home Office pode aumentar renda média brasileira, aponta estudo https://t.co/JvW8xOGMvi https://t.co/4RS6BaisNp",111,1312520817880621056,UltiNoticia,Últimas Notícias,Brasil,,2020-10-03 22:32:03,dlvr.it,0,0,,,
8,Depois de meses em home office o espírito guerreiro te abandona e não volta mais 😂  ~✨ Anime: Danmachi - Is It Wrong to Try to Pick Up Girls in a Dungeon? https://t.co/sz8Oi124x9,178,1312520399423303680,gugatorres82,Unkindle One🔥,,,2020-10-03 22:30:23,Twitter for Android,0,22,,,
9,"Home Office pode aumentar renda média brasileira, aponta estudo https://t.co/LW82ciVq8c https://t.co/GCAKebDxT5",111,1312519559664943104,harleyguimaraes,Harley,"Distrito Federal, Brasil",,2020-10-03 22:27:03,dlvr.it,0,0,,,
10,"ficou a semana toda   fazendo  um calor  sinstro  e  hoje ta uma  friaca, se  eu nao tivesse   de home office  ia ficar de  cara",128,1312519093191237633,ekt0pl4sm,✨💔 𝕲𝓮𝓻𝓼𝓸𝕹 💣✨ (da 🛣),fora da matrix,,2020-10-03 22:25:11,TweetDeck,0,0,,,
